point_name,x_torishin_name,y_torishin_name,setsu_name,col_form,angle,kih_x,kih_y,kih_z,tat_x,tat_y,tat_z,hon_x,hon_y,hon_z,you_x,you_y,you_z,con_x,con_y,con_z,comment
X4B-Y1,X4B,Y1,1,S,,28400,0,10800,1,-2,3,1,-1,3,,,,,,,
X4B-Y2,X4B,Y2,1,S,,28400,16300,10800,3,0,3,3,-1,3,,,,,,,
X3B-Y1,X3B,Y1,1,S,,19400,0,10800,2,-1,3,2,-1,3,,,,,,,
X3B-Y2,X3B,Y2,1,S,,19400,16300,10800,2,1,3,3,2,3,,,,,,,
X2B-Y1,X2B,Y1,1,S,,10400,0,10800,3,2,0,4,2,0,,,,,,,
X2B-Y2,X2B,Y2,1,S,,10400,16300,10800,3,-1,1,4,2,1,,,,,,,
X1B-Y1,X1B,Y1,1,S,,1400,0,10800,3,3,0,3,3,0,,,,,,,
X1B-Y2,X1B,Y2,1,S,,1400,16300,10800,4,3,-3,5,3,-2,,,,,,,
X1-Y3,X1,Y3,1,S,,0,26600,10800,-3,2,-2,2,0,-2,,,,,,,
X2-Y3,X2,Y3,1,S,,8800,26600,10800,1,4,-2,4,1,-2,,,,,,,
X3-Y3,x3,Y3,1,S,,15600,26600,10800,2,1,3,0,-3,3,,,,,,,
X4-Y3,x4,Y3,1,S,,26600,26600,10800,3,-3,1,1,-3,0,,,,,,,
X5-Y3,X5,Y3,1,S,,37400,26600,10800,-2,3,-2,-2,3,-2,,,,,,,
X6-Y3,X6,Y3,1,S,,48200,26600,10800,-2,-4,2,-2,-5,2,,,,,,,
X7-Y3,X7,Y3,1,S,,59000,26600,10800,-4,-4,0,-4,-5,0,,,,,,,
X8-Y3,X8,Y3,1,S,,69800,26600,10800,-5,-4,3,-4,-4,3,,,,,,,
X9-Y3,X9,Y3,1,S,,80600,26600,10800,-5,0,0,-6,0,0,,,,,,,
X10-Y3,X10,Y3,1,S,,91600,26600,10800,-4,2,2,-4,2,2,,,,,,,
X11-Y3,X11,Y3,1,S,,102600,26600,10800,-5,-2,1,-5,-2,1,,,,,,,
X12-Y3,X12,Y3,1,S,,113600,26600,10800,-4,-2,-2,-5,-2,-2,,,,,,,
X1-Y4,X1,Y4,1,S,,0,39600,10800,-4,4,3,-4,3,3,,,,,,,
X2-Y4,X2,Y4,1,S,,8800,39600,10800,-4,4,-2,-3,3,-2,,,,,,,
X3-Y4,x3,Y4,1,S,,15800,39600,10800,0,4,-3,0,4,-3,,,,,,,
X4-Y4,x4,Y4,1,S,,26600,39600,10800,3,-3,-3,4,-3,-3,,,,,,,
X5-Y4,X5,Y4,1,S,,37400,39600,10800,-2,4,-2,1,-1,0,,,,,,,
X6-Y4,X6,Y4,1,S,,48200,39600,10800,4,4,3,4,4,3,,,,,,,
X7-Y4,X7,Y4,1,S,,59000,39600,10800,0,-3,0,1,-4,0,,,,,,,
X8-Y4,X8,Y4,1,S,,69800,39600,10800,-5,-4,1,-5,-3,1,,,,,,,
X9-Y4,X9,Y4,1,S,,80600,39600,10800,-5,4,1,-5,4,1,,,,,,,
X8A-Y3,X8A,Y3,1,S,,76100,26800,10800,-5,-3,-3,-6,-3,-3,,,,,,,
X8A-Y4,X8A,Y4,1,S,,76100,39600,10800,-5,2,-3,-6,2,-3,,,,,,,
X10-Y4,X10,Y4,1,S,,91600,39600,10800,-5,0,0,-5,0,0,,,,,,,
X11-Y4,X11,Y4,1,S,,102600,39600,10800,-5,-1,2,-6,-1,2,,,,,,,
